"","X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"273",3247,"09/07/2012","Crowsnest",1200000,0,0,"IFC Midnight","R","Horror"
"274",3248,"9/14/2012","Airborne",1200000,0,0,"Image Entertainment",NA,"Horror"
"275",3251,"12/25/2005","Wolf Creek",1100000,16186348,29005064,"Weinstein Co.","R","Horror"
"276",3254,"09/04/1987","The Offspring",1100000,1355728,1355728,"Moviestore Entertai…","R","Horror"
"277",3258,"01/06/2012","The Devil Inside",1e+06,53262945,101759490,"Paramount Pictures","R","Horror"
"278",3259,"4/17/2015","Unfriended",1e+06,32789645,62869004,"Universal","R","Horror"
"279",3261,"02/01/1980","The Fog",1e+06,21378361,21378361,"Avco Embassy",NA,"Horror"
"280",3262,"8/23/2013","You're Next",1e+06,18494006,26887177,"Lionsgate","R","Horror"
"281",3263,"5/25/2012","Chernobyl Diaries",1e+06,18119640,42411721,"Warner Bros.","R","Horror"
"282",3264,"04/10/1981","The Howling",1e+06,17985000,17985000,"Avco Embassy",NA,"Horror"
"283",3266,"9/18/1987","Hellraiser",1e+06,14564000,14575148,"New World","R","Horror"
"284",3271,"7/20/2018","Unfriended: Dark Web",1e+06,8783985,9620953,"OTL Releasing","R","Horror"
"285",3272,"9/25/2015","The Green Inferno",1e+06,7192291,12931569,"High Top Releasing","R","Horror"
"286",3298,"10/30/2009","The House of the Devil",1e+06,101215,102812,"Magnolia Pictures","R","Horror"
"287",3312,"4/14/2006","Hard Candy",950000,1024640,8267066,"Lionsgate","R","Horror"
"288",3332,"02/03/2012","The Innkeepers",750000,78396,1011535,"Magnolia Pictures","R","Horror"
"289",3334,"07/01/2005","Undead",750000,41196,229250,"Lionsgate","R","Horror"
"290",3335,"10/11/2013","All the Boys Love Mandy Lane",750000,0,1960521,"Radius","R","Horror"
"291",3339,"7/14/1999","The Blair Witch Project",6e+05,140539099,248300000,"Artisan","R","Horror"
"292",3345,"05/09/1980","Friday the 13th",550000,39754601,59754601,"Paramount Pictures",NA,"Horror"
"293",3365,"9/25/2009","Paranormal Activity",450000,107918810,194183034,"Paramount Pictures","R","Horror"
"294",3374,"01/01/1983","E tu vivrai nel terrore - L'aldil?",4e+05,126387,126387,NA,NA,"Horror"
"295",3376,"12/10/2004","Fabled",4e+05,31425,31425,"Indican Pictures","R","Horror"
"296",3377,"10/13/2005","The Dark Hours",4e+05,423,423,"Freestyle Releasing","R","Horror"
"297",3379,"01/01/1980","Maniac",350000,1e+07,1e+07,"Analysis",NA,"Horror"
"298",3382,"10/17/1978","Halloween",325000,4.7e+07,7e+07,"Compass International","R","Horror"
